task,model,signal,metric,value
math500,vllm/phi4mii,seq_response_min,cal_brier,0.17497577746308984
math500,vllm/phi4mii,seq_response_min,cal_ece,0.05495015639672291
math500,vllm/phi4mii,seq_response_min,raw_ece,0.45871277727655635
math500,vllm/phi4mii,seq_response_min,auarc,0.8336884061298452
math500,vllm/phi4mii,seq_response_tail10,auroc,0.6700815784481123
math500,vllm/phi4mii,seq_response_tail10,cal_brier,0.20860269615132748
math500,vllm/phi4mii,seq_response_tail10,cal_ece,0.1004641714872357
math500,vllm/phi4mii,seq_response_tail10,raw_ece,0.21025342241557346
math500,vllm/phi4mii,seq_response_tail10,auarc,0.7618594046442345
math500,vllm/phi4mii,verification,auroc,0.7998798456965788
math500,vllm/phi4mii,verification,cal_brier,0.16866413388806223
math500,vllm/phi4mii,verification,cal_ece,0.08513270747984851
math500,vllm/phi4mii,verification,raw_ece,0.10060886633548242
math500,vllm/phi4mii,verification,auarc,0.8420746639148087
math500,vllm/phi4mii,verbalized,auroc,0.6336874723328907
math500,vllm/phi4mii,verbalized,cal_brier,0.2139399937291546
math500,vllm/phi4mii,verbalized,cal_ece,0.03741139512675766
math500,vllm/phi4mii,verbalized,raw_ece,0.24522546419098132
math500,vllm/phi4mii,verbalized,auarc,0.732698705871622
math500,vllm/phi4mii,consistency_t0.7,auroc,0.918516410548283
math500,vllm/phi4mii,consistency_t0.7,cal_brier,0.11503576642541599
math500,vllm/phi4mii,consistency_t0.7,cal_ece,0.0640550949075153
math500,vllm/phi4mii,consistency_t0.7,raw_ece,0.0875331564986737
math500,vllm/phi4mii,consistency_t0.7,auarc,0.9017518529919596
math500,vllm/phi4mii,consistency_t0.7_margin,auroc,0.8342186808322266
math500,vllm/phi4mii,consistency_t0.7_margin,cal_brier,0.16102086868926688
math500,vllm/phi4mii,consistency_t0.7_margin,cal_ece,0.07259231910601847
math500,vllm/phi4mii,consistency_t0.7_margin,raw_ece,0.15119363395225474
math500,vllm/phi4mii,consistency_t0.7_margin,auarc,0.8575010084433382
math500,vllm/phi4mii,consistency_t0.7_entropy,auroc,0.835736419401758
math500,vllm/phi4mii,consistency_t0.7_entropy,cal_brier,0.15880989463518
math500,vllm/phi4mii,consistency_t0.7_entropy,cal_ece,0.06353255254048674
math500,vllm/phi4mii,consistency_t0.7_entropy,raw_ece,0.13249761827922166
math500,vllm/phi4mii,consistency_t0.7_entropy,auarc,0.8574110127245697
math500,vllm/q3-4bi,constant,auroc,nan
math500,vllm/q3-4bi,constant,cal_brier,0.06487386621315196
math500,vllm/q3-4bi,constant,cal_ece,0.027210884353741572
math500,vllm/q3-4bi,constant,auarc,0.9311224489795918
math500,vllm/q3-4bi,seq_response,auroc,0.7923896499238965
math500,vllm/q3-4bi,seq_response,cal_brier,0.05202695980486424
math500,vllm/q3-4bi,seq_response,cal_ece,0.022808816264165255
math500,vllm/q3-4bi,seq_response,raw_ece,0.041872561361877676
math500,vllm/q3-4bi,seq_response,auarc,0.9745376757277502
math500,vllm/q3-4bi,seq_response_min,auroc,0.8573313039066464
math500,vllm/q3-4bi,seq_response_min,cal_brier,0.05773466755477402
math500,vllm/q3-4bi,seq_response_min,cal_ece,0.03536763520673878
math500,vllm/q3-4bi,seq_response_min,raw_ece,0.630027455759586
math500,vllm/q3-4bi,seq_response_min,auarc,0.9859385910523565
math500,vllm/q3-4bi,seq_response_tail10,auroc,0.8
math500,vllm/q3-4bi,seq_response_tail10,cal_brier,0.0523071892065118
math500,vllm/q3-4bi,seq_response_tail10,cal_ece,0.026916713062405877
math500,vllm/q3-4bi,seq_response_tail10,raw_ece,0.31281508756425724
math500,vllm/q3-4bi,seq_response_tail10,auarc,0.9757346186739285
math500,vllm/q3-4bi,verification,auroc,0.8903094875697616
math500,vllm/q3-4bi,verification,cal_brier,0.053407080187622205
math500,vllm/q3-4bi,verification,cal_ece,0.02468069510316326
math500,vllm/q3-4bi,verification,raw_ece,0.05638873391614609
math500,vllm/q3-4bi,verification,auarc,0.9883826287371046
math500,vllm/q3-4bi,verbalized,auroc,0.6111111111111112
math500,vllm/q3-4bi,verbalized,cal_brier,0.051173258496762665
math500,vllm/q3-4bi,verbalized,cal_ece,0.022634370831125166
math500,vllm/q3-4bi,verbalized,raw_ece,0.06386054421768708
math500,vllm/q3-4bi,verbalized,auarc,0.9454660744065342
math500,vllm/q3-4bi,consistency_t0.7,auroc,0.9105022831050228
math500,vllm/q3-4bi,consistency_t0.7,cal_brier,0.03484077680334022
math500,vllm/q3-4bi,consistency_t0.7,cal_ece,0.03191171794844205
math500,vllm/q3-4bi,consistency_t0.7,raw_ece,0.03010204081632653
math500,vllm/q3-4bi,consistency_t0.7,auarc,0.9858520693996351
math500,vllm/q3-4bi,consistency_t0.7_margin,auroc,0.8555048198883816
math500,vllm/q3-4bi,consistency_t0.7_margin,cal_brier,0.057404138911429904
math500,vllm/q3-4bi,consistency_t0.7_margin,cal_ece,0.046285290813791756
math500,vllm/q3-4bi,consistency_t0.7_margin,raw_ece,0.05051020408163265
math500,vllm/q3-4bi,consistency_t0.7_margin,auarc,0.9794053346522987
math500,vllm/q3-4bi,consistency_t0.7_entropy,auroc,0.8615930999492644
math500,vllm/q3-4bi,consistency_t0.7_entropy,cal_brier,0.04792653496280972
math500,vllm/q3-4bi,consistency_t0.7_entropy,cal_ece,0.03797463180245175
math500,vllm/q3-4bi,consistency_t0.7_entropy,raw_ece,0.03631318876084859
math500,vllm/q3-4bi,consistency_t0.7_entropy,auarc,0.9798186893946375
